"Education","Marital_Status","Income","Recency","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Age","Total_Spending","TotalNumPurchases","TotalAcceptedCmp","AcceptedCmp","Children"
"Graduate","Single",58138,58,7,0,0,0,0,0,1,61,1617,25,1,1,0
"Graduate","Single",46344,38,5,0,0,0,0,0,0,64,27,6,0,0,2
"Graduate","Married",71613,26,4,0,0,0,0,0,0,53,776,21,0,0,0
"Graduate","Married",26646,26,6,0,0,0,0,0,0,34,53,8,0,0,1
"Postgrad","Married",58293,94,5,0,0,0,0,0,0,37,422,19,0,0,1
"Postgrad","Married",62513,16,6,0,0,0,0,0,0,51,716,22,0,0,1
"Graduate","Single",55635,34,6,0,0,0,0,0,0,47,590,21,0,0,1
"Postgrad","Married",33454,32,8,0,0,0,0,0,0,33,169,10,0,0,1
"Postgrad","Married",30351,19,9,0,0,0,0,0,1,44,46,6,1,1,1
"Postgrad","Married",5648,68,20,1,0,0,0,0,0,68,49,2,1,1,2
"Undergraduate","Married",7500,59,8,0,0,0,0,0,0,42,61,6,0,0,0
"Graduate","Single",63033,82,2,0,0,0,0,0,0,59,1102,16,0,0,0
"Postgrad","Single",59354,53,6,0,0,0,0,0,0,66,310,15,0,0,2
"Graduate","Married",17323,38,8,0,0,0,0,0,0,31,46,5,0,0,0
"Postgrad","Single",82800,23,3,0,0,1,1,0,1,72,1315,26,3,1,0
"Graduate","Married",41850,51,8,0,0,0,0,0,0,38,96,9,0,0,2
"Graduate","Married",37760,20,7,0,0,0,0,0,0,72,317,13,0,0,0
"Postgrad","Married",76995,91,5,0,0,0,1,0,0,69,1782,26,1,1,1
"Undergraduate","Single",33812,86,6,0,0,0,0,0,0,33,133,8,0,0,1
"Graduate","Married",37040,41,8,0,0,0,0,0,0,36,316,12,0,0,0
"Graduate","Married",2447,42,1,0,0,0,0,0,0,39,1730,43,0,0,1
"Postgrad","Married",58607,63,8,0,1,0,0,0,0,69,972,17,1,1,1
"Postgrad","Married",65324,0,4,0,0,0,0,0,0,64,544,20,0,0,1
"Graduate","Married",40689,69,8,0,0,0,0,0,0,67,444,20,0,0,1
"Graduate","Single",18589,89,7,0,0,0,0,0,0,49,75,8,0,0,0
"Graduate","Married",53359,4,7,0,0,0,0,0,0,42,257,14,0,0,2
"Graduate","Married",38360,26,3,0,0,0,0,0,0,29,131,9,0,0,1
"Postgrad","Married",84618,96,2,0,0,1,0,0,0,53,1672,26,1,1,0
"Postgrad","Single",10979,34,5,0,0,0,0,0,0,29,30,8,0,0,0
"Postgrad","Married",38620,56,3,0,0,0,0,0,0,55,318,11,0,0,0
"Graduate","Married",40548,31,5,0,1,0,0,0,0,48,120,9,1,1,1
"Postgrad","Single",46610,8,6,0,0,0,0,0,1,66,302,17,1,1,2
"Postgrad","Married",68657,4,7,0,0,0,0,0,0,72,1196,18,0,0,0
"Postgrad","Single",49389,55,7,0,0,0,0,0,0,67,65,6,0,0,2
